S.No,Date,Type,Strike,Entry Time,Entry Spot,Entry Prem,Spot SL,Prem TP,Exit Time,Exit Prem,Reason,Points,PnL (₹)
17,2025-12-17,SHORT,58900,12:05,58939.1,354.0,59010.5,422.6,13:56,375.8,"Target",21.8,613
18,2025-12-19,LONG,59100,10:05,59064.7,493.7,59016.8,542.6,10:06,444.9,"Stop Loss",-48.8,-1504
19,2025-12-19,LONG,59100,10:35,59076.4,483.2,59040.4,520.3,11:02,452.6,"Stop Loss",-30.6,-960
20,2025-12-22,LONG,59300,10:55,59289.1,438.5,59236.8,492.7,11:07,406.0,"Stop Loss",-32.5,-1015
21,2025-12-22,SHORT,59200,12:50,59216.1,263.8,59273.3,321.6,12:54,249.2,"Stop Loss",-14.6,-478
22,2025-12-23,LONG,59300,10:10,59338.9,412.6,59283.8,468.9,10:22,361.5,"Stop Loss",-51.1,-1573
23,2025-12-23,SHORT,59300,11:45,59261.6,263.0,59302.1,302.6,12:07,248.1,"Stop Loss",-14.9,-487
24,2025-12-24,SHORT,59400,10:50,59386.6,195.2,59431.7,243.1,13:05,242.6,"Target",47.4,1383
25,2025-12-29,SHORT,58900,11:10,58876.8,140.8,58921.8,189.5,14:05,114.8,"Stop Loss",-25.9,-817
26,2025-12-30,LONG,59000,10:30,59019.6,913.8,58947.3,978.4,10:42,881.2,"Stop Loss",-32.6,-1018
27,2025-12-30,SHORT,58900,12:00,58938.9,484.4,58983.6,533.0,13:33,453.5,"Stop Loss",-30.9,-969
28,2025-12-31,LONG,59400,10:20,59355.3,807.3,59284.8,864.1,10:45,848.6,"Target",41.3,1199
29,2025-12-31,LONG,59500,11:05,59463.7,797.6,59404.3,856.4,11:30,741.5,"Stop Loss",-56.1,-1723
30,2026-01-01,LONG,59700,10:35,59689.4,734.4,59583.1,822.8,14:30,724.5,"Square-off",-9.9,-337
31,2026-01-05,SHORT,60200,12:45,60220.8,503.9,60254.6,544.3,13:12,543.8,"Target",39.9,1156
32,2026-01-06,SHORT,60100,11:25,60140.0,488.3,60268.4,599.6,14:30,506.6,"Square-off",18.4,512
33,2026-01-07,LONG,59900,10:24,59910.4,701.5,59874.1,743.8,10:28,661.3,"Stop Loss",-40.3,-1248
34,2026-01-07,SHORT,60000,11:50,59999.0,455.7,60047.3,506.9,12:12,488.6,"Target",33.0,949
35,2026-01-08,SHORT,59800,11:15,59804.8,469.8,59895.1,552.5,12:03,552.0,"Target",82.2,2426
36,2026-01-08,LONG,59700,12:20,59697.4,666.0,59574.8,771.1,14:30,669.5,"Square-off",3.5,65
37,2026-01-09,SHORT,59500,11:00,59466.2,434.5,59570.9,525.0,12:35,519.5,"Target",85.0,2509
38,2026-01-09,SHORT,59300,12:45,59267.1,444.5,59323.7,497.9,12:52,416.6,"Stop Loss",-27.9,-876
39,2026-01-13,SHORT,59600,10:45,59600.7,446.0,59687.8,526.3,11:32,389.5,"Stop Loss",-56.5,-1735
40,2026-01-13,SHORT,59600,11:56,59645.3,427.4,59718.7,497.4,12:46,493.6,"Target",66.2,1945
41,2026-01-14,LONG,59500,11:01,59473.3,614.0,59374.9,702.8,11:27,692.0,"Target",78.0,2299
42,2026-01-16,LONG,60100,10:25,60070.3,538.7,59953.8,640.1,12:28,439.1,"Stop Loss",-99.6,-3028
43,2026-01-19,LONG,59800,11:05,59774.3,409.6,59695.1,478.9,11:11,377.1,"Stop Loss",-32.6,-1018
44,2026-01-20,LONG,59800,11:57,59775.8,383.3,59712.5,445.7,12:09,336.5,"Stop Loss",-46.8,-1444
45,2026-01-21,SHORT,59000,10:13,59047.6,320.1,59195.7,446.2,10:42,427.3,"Target",107.2,3175
46,2026-01-23,SHORT,59000,11:46,59004.7,253.1,59112.8,349.2,12:46,171.2,"Stop Loss",-81.9,-2497
47,2026-01-28,SHORT,59600,11:46,59601.8,797.5,59653.5,851.3,12:24,835.8,"Target",38.3,1108
48,2026-01-28,SHORT,59500,12:30,59487.4,798.5,59560.3,868.3,13:18,752.9,"Stop Loss",-45.7,-1411
49,2026-01-29,LONG,59500,09:52,59475.3,1093.3,59412.4,1155.4,09:56,1017.2,"Stop Loss",-76.0,-2322
50,2026-01-29,LONG,59600,10:20,59560.4,1042.2,59476.6,1120.1,11:12,1119.6,"Target",77.4,2282
51,2026-01-30,LONG,59900,11:05,59852.3,999.8,59816.4,1041.6,11:06,979.5,"Stop Loss",-20.3,-648
52,2026-01-30,SHORT,59800,11:22,59752.8,815.9,59853.6,906.5,12:17,779.5,"Stop Loss",-36.4,-1131
53,2026-02-01,LONG,59700,10:30,59701.1,1014.1,59601.9,1101.0,11:41,908.7,"Stop Loss",-105.5,-3204
54,2026-02-01,SHORT,59500,11:51,59530.5,719.8,59720.6,877.3,12:12,826.0,"Target",106.3,3149
55,2026-02-02,SHORT,58000,11:11,57951.5,785.0,58072.8,891.0,11:34,676.5,"Stop Loss",-108.5,-3294
56,2026-02-03,SHORT,60000,10:15,59968.1,804.3,60049.2,880.1,10:21,737.5,"Stop Loss",-66.8,-2044
57,2026-02-03,LONG,60200,11:05,60158.1,865.5,60111.4,915.4,11:09,835.0,"Stop Loss",-30.4,-954
58,2026-02-04,SHORT,60200,10:25,60224.2,632.5,60302.7,706.4,13:32,568.4,"Stop Loss",-64.1,-1963
59,2026-02-05,SHORT,60100,09:45,60134.5,580.3,60201.7,640.6,10:22,535.8,"Stop Loss",-44.5,-1375
60,2026-03-02,SHORT,59800,12:05,59764.8,753.8,59819.4,809.8,12:39,809.4,"Target",55.6,1630
61,2026-03-04,SHORT,58600,10:45,58589.8,959.3,58660.6,1019.9,10:57,1019.4,"Target",60.1,1764
62,2026-03-04,SHORT,58500,12:20,58484.7,993.7,58536.2,1045.2,12:25,964.1,"Stop Loss",-29.6,-928
63,2026-03-06,SHORT,58500,10:00,58517.8,904.4,58656.8,1023.6,12:28,1023.1,"Target",118.8,3524
64,2026-03-09,SHORT,55600,11:18,55636.4,1332.0,55795.6,1466.3,11:28,1219.5,"Stop Loss",-112.5,-3414
65,2026-03-10,LONG,56900,11:15,56862.4,1240.9,56783.2,1315.4,12:14,1173.0,"Stop Loss",-67.8,-2076
66,2026-03-10,LONG,56900,13:00,56886.0,1231.7,56706.8,1379.2,14:30,1266.8,"Square-off",35.0,1012
67,2026-03-11,SHORT,56400,10:45,56391.8,1008.4,56549.0,1137.4,11:20,1136.9,"Target",128.6,3817
68,2026-03-12,LONG,55200,10:42,55216.0,1429.3,55039.3,1576.9,13:33,1500.2,"Target",70.9,2087
69,2026-03-13,SHORT,54100,10:27,54075.2,1150.5,54181.5,1245.2,11:29,1037.3,"Stop Loss",-113.3,-3438
70,2026-03-13,LONG,54200,11:36,54197.1,1359.7,54044.1,1489.5,12:19,1251.5,"Stop Loss",-108.2,-3286
71,2026-03-16,SHORT,53600,10:31,53609.9,1089.3,53817.1,1259.7,10:55,1259.2,"Target",169.9,5056
72,2026-03-16,LONG,53700,12:30,53740.8,1332.5,53671.8,1394.5,12:34,1261.8,"Stop Loss",-70.7,-2161
73,2026-03-17,LONG,54400,10:10,54438.6,1100.8,54323.5,1199.4,10:22,1198.9,"Target",98.0,2902
74,2026-03-17,SHORT,54300,11:30,54257.1,978.5,54388.9,1092.4,12:11,884.3,"Stop Loss",-94.2,-2866
75,2026-03-18,SHORT,54800,10:14,54791.8,823.7,54929.8,942.3,10:22,725.0,"Stop Loss",-98.7,-3001
76,2026-03-18,LONG,55000,11:00,55010.2,866.5,54914.1,950.8,11:27,950.3,"Target",83.8,2475
77,2026-03-19,SHORT,53600,10:22,53635.3,895.1,53703.8,961.6,10:25,839.2,"Stop Loss",-56.0,-1719
78,2026-03-19,LONG,53700,10:36,53742.9,978.1,53580.1,1115.2,12:11,1114.7,"Target",136.6,4058
79,2026-03-20,LONG,54000,10:37,54029.0,1084.4,53940.9,1165.4,11:21,1156.5,"Target",72.1,2123
80,2026-03-20,SHORT,54000,11:50,54015.6,875.9,54108.4,953.8,12:03,938.1,"Target",62.3,1828
81,2026-04-01,SHORT,51300,10:31,51251.7,1532.0,51464.2,1702.6,11:39,1414.8,"Stop Loss",-117.2,-3556
82,2026-04-01,SHORT,51300,11:56,51341.9,1475.5,51477.5,1592.2,12:00,1382.7,"Stop Loss",-92.8,-2826
83,2026-04-02,SHORT,50100,10:11,50059.2,1672.8,50152.9,1758.1,10:14,1570.5,"Stop Loss",-102.3,-3109
84,2026-05-04,LONG,55500,09:46,55491.5,1259.5,55353.3,1378.2,09:53,1160.5,"Stop Loss",-99.0,-3010
85,2026-05-04,SHORT,55300,10:20,55309.3,946.6,55433.5,1054.8,11:39,855.5,"Stop Loss",-91.1,-2773
86,2026-05-05,SHORT,54500,10:19,54533.6,968.5,54672.6,1087.8,11:46,1087.3,"Target",118.8,3523
87,2026-05-05,LONG,54400,12:29,54353.7,1190.5,54254.1,1280.2,12:51,1274.5,"Target",84.0,2480
88,2026-05-06,SHORT,55100,10:10,55059.0,899.5,55198.8,1019.3,12:20,997.4,"Target",97.9,2897
89,2026-05-06,SHORT,54700,12:50,54691.2,919.3,54750.7,978.9,13:16,829.5,"Stop Loss",-89.8,-2734
90,2026-05-07,LONG,56000,09:46,56008.4,1080.5,55864.2,1203.7,11:21,984.7,"Stop Loss",-95.8,-2914
91,2026-05-07,LONG,55900,12:10,55947.9,1095.5,55846.3,1186.7,12:38,1186.2,"Target",90.7,2681
92,2026-05-08,LONG,55600,10:00,55647.1,1085.5,55534.6,1181.4,10:57,1036.5,"Stop Loss",-49.0,-1509
93,2026-05-11,LONG,54700,11:26,54665.3,1032.8,54608.3,1090.5,11:41,1083.5,"Target",50.7,1481
94,2026-05-11,LONG,54800,13:01,54827.4,1053.6,54797.9,1090.7,13:03,1017.3,"Stop Loss",-36.4,-1131
95,2026-05-12,SHORT,53700,12:40,53712.4,0.5,53866.4,128.5,14:30,10.8,"Square-off",10.3,268
96,2026-05-13,LONG,53700,10:30,53683.8,1057.5,53506.8,1204.2,10:59,961.0,"Stop Loss",-96.5,-2937
97,2026-05-13,LONG,53900,11:48,53905.8,1078.5,53585.2,1334.0,14:30,964.3,"Square-off",-114.2,-3466
98,2026-05-14,SHORT,53600,10:00,53555.3,855.4,53706.7,979.2,10:48,978.7,"Target",123.4,3661
99,2026-05-14,LONG,54100,11:50,54129.1,956.8,53847.2,1179.0,14:30,1020.6,"Square-off",63.9,1877
100,2026-05-15,LONG,54300,10:55,54276.2,884.9,54216.0,944.6,11:02,818.2,"Stop Loss",-66.7,-2040
101,2026-05-15,SHORT,54000,12:26,54032.8,781.4,54152.1,885.8,12:44,680.4,"Stop Loss",-101.0,-3069
102,2026-05-18,SHORT,52800,09:56,52831.7,748.4,52967.1,865.0,10:20,673.0,"Stop Loss",-75.3,-2301
103,2026-05-18,LONG,53300,12:40,53268.3,855.5,53134.4,970.9,12:58,970.4,"Target",114.9,3407
104,2026-05-19,SHORT,53500,10:01,53493.1,653.1,53652.2,787.4,10:45,547.5,"Stop Loss",-105.7,-3210
105,2026-05-19,SHORT,53500,11:24,53526.4,621.8,53609.9,699.3,11:56,547.5,"Stop Loss",-74.2,-2266
